dish_name,alternate_alias,cuisine_name,region,category,sub_category,main_ingredient_category,dietary_type,course,primary_protein,dish_importance_score,spice_level,sweet_score,salt_score,sour_score,bitter_score,umami_score,spicy_score,rich_fat_score,astringency_score,viscosity_score,crunchy_score,chewy_score,aromatic_score,funk_score,rating,ingredients,description,serving_temperature
Lagana,,Greek,Pan-Greek,Bread,Flatbread,Wheat Dish,Vegan,Side,Wheat,4.7,Low,1,3,1,2,3,1,4,1,3,4,4,4,2,,"flour, yeast, sesame seeds, olive oil, garlic, lemon juice, oregano, feta cheese, salt",Lagana is a sesame-topped flatbread traditionally baked for Clean Monday.,hot
Lahanorizo,,Greek,Pan-Greek,Main Dish,Cabbage Rice,Rice Dish,Vegan,Main,Rice,5.7,Mild,1,6,2,2,7,1,6,1,5,2,3,6,2,,"cabbage, rice, dill, olive oil, lemon, garlic, oregano, feta cheese, salt",Lahanorizo is a Greek comfort dish of cabbage and rice.,hot
Lahanosalata,,Greek,Pan-Greek,Appetizer,Cabbage Salad,Vegetable Dish,Vegan,Appetizer,Vegetables,2.6,Mild,1,5,4,2,4,1,5,2,3,3,2,6,2,,"cabbage, carrot, olive oil, lemon juice, salt, red wine vinegar, oregano, feta cheese, tomato, cucumber",Lahanosalata is a fresh Greek cabbage salad typically dressed with olive oil and lemon.,cold
Lalagia,,Greek,Mani,Bread,Savory Fried Dough,Wheat Dish,Vegan,Side,Wheat,2.1,Low,1,3,1,2,3,1,7,1,3,6,4,4,2,,"flour, olive oil, yeast, orange juice, garlic, lemon juice, oregano, feta cheese, salt",Lalagia are Maniot fried dough strips served as bread or snack.,hot
Loukoumades,,Greek,Pan-Greek,Dessert,Honey Doughnuts,Wheat Dish,Vegan,Dessert,Wheat,6.6,Low,9,2,1,1,1,1,7,1,4,6,2,5,2,,"fried dough, honey syrup, cinnamon, nuts, olive oil, garlic, lemon juice, oregano, feta cheese, salt",Loukoumades are small Greek honey doughnuts served warm.,room_temp
Loukoumi Syrou,Syros loukoumi,Greek,Syros,Dessert,Gel Candy,Nut Dish,Vegan,Dessert,Nuts,6.6,Low,8,2,1,1,1,1,4,1,4,2,2,4,2,,"sugar, starch, water, flavoring, olive oil, garlic, lemon juice, oregano, feta cheese, salt",Loukoumi Syrou is the celebrated Syros version of Greek delight-style candy.,room_temp
Louza,,Greek,Mykonos,Appetizer,Cured Pork Loin,Pork Dish,Non-Veg,Appetizer,Pork,2.6,Mild,1,6,1,1,6,1,4,1,3,2,2,5,2,,"pork loin, salt, spices, olive oil, garlic, lemon juice, oregano, feta cheese",Louza is a Cycladic cured pork loin specialty associated with Mykonos and nearby islands.,hot
Magiritsa,,Greek,Pan-Greek,Soup,Easter Soup,Lamb Dish,Non-Veg,Soup,Lamb,2.8,Mild,1,6,4,1,7,1,3,1,4,1,1,6,4,,"lamb offal, lettuce, dill, egg, lemon, olive oil, garlic, oregano, feta cheese, salt",Magiritsa is the customary Greek Easter soup made with lamb offal and avgolemono.,hot
Makarounes,,Greek,Karpathos,Main Dish,Fresh Pasta with Sauce,Cheese Dish,Veg,Main,Cheese,5.7,Mild,2,6,1,1,8,1,7,1,4,2,4,5,2,,"handmade pasta, onion, butter, cheese, olive oil, garlic, lemon juice, oregano, salt",Makarounes are handmade Karpathian pasta typically served with caramelized onion and cheese.,hot
Mandolato,,Greek,Ionian Islands,Dessert,Nougat,Nut Dish,Veg,Dessert,Nuts,4.1,Low,8,2,1,2,1,1,5,2,4,2,2,4,2,,"egg whites, almonds, sugar, honey, olive oil, garlic, lemon juice, oregano, feta cheese, salt",Mandolato is an Ionian nougat confection with Venetian influence.,room_temp
Manestra,,Greek,Pan-Greek,Soup,Orzo in Tomato Sauce,Cheese Dish,Veg,Soup,Cheese,2.8,Mild,1,6,1,2,8,1,6,2,5,1,1,6,2,,"orzo, tomato sauce, onion, olive oil, cheese, garlic, lemon juice, oregano, salt","Manestra is a Greek orzo dish cooked in tomato sauce, sometimes served as soup-like comfort food.",room_temp
Manouri,,Greek,Central Greece,Appetizer,Fresh Whey Cheese,Cheese Dish,Veg,Appetizer,Cheese,2.6,Mild,1,5,2,1,6,1,7,1,4,2,2,5,2,,"sheep milk whey, cream, olive oil, garlic, lemon juice, oregano, feta cheese, salt",Manouri is a creamy Greek whey cheese often served fresh.,room_temp
Marathopita,,Greek,Crete,Bread,Fennel Pie,Cheese Dish,Veg,Side,Cheese,3.5,Low,1,4,1,2,5,1,6,1,3,2,3,5,2,,"dough, fennel, olive oil, cheese, garlic, lemon juice, oregano, salt",Marathopita is a Cretan pie flavored with fragrant wild fennel.,hot
Marides tiganites,,Greek,Aegean Coast,Appetizer,Fried Small Fish,Fish Dish,Pescatarian,Appetizer,Fish,2.6,Mild,1,4,4,2,6,1,7,1,3,6,2,5,2,,"small fish, flour, olive oil, lemon, garlic, oregano, feta cheese, salt",Marides tiganites are lightly floured and fried small fish served with lemon.,hot
Maroulosalata,,Greek,Pan-Greek,Appetizer,Lettuce Salad,Vegetable Dish,Vegan,Appetizer,Vegetables,2.6,Mild,1,4,4,2,4,1,5,2,3,4,2,6,2,,"lettuce, scallions, dill, olive oil, lemon juice, red wine vinegar, oregano, feta cheese, tomato, cucumber","Maroulosalata is a crisp lettuce salad brightened with dill, scallions, olive oil, and lemon.",cold
Mastelo,,Greek,Sifnos,Main Dish,Lamb Casserole,Lamb Dish,Non-Veg,Main,Lamb,5.7,Mild,1,6,2,1,8,1,6,5,5,2,3,6,2,,"lamb, dill, red wine, herbs, olive oil, garlic, lemon juice, oregano, feta cheese, salt",Mastelo is a Sifnian lamb casserole scented with dill and wine.,hot
Mastiha liqueur,,Greek,Chios,Drink,Aromatic Liqueur,Beverage,Vegan,Drink,,1.8,Low,4,2,1,1,1,1,1,1,1,1,1,5,2,,"mastiha resin, alcohol, sugar, olive oil, garlic, lemon juice, oregano, feta cheese, salt",Mastiha liqueur is a Greek spirit flavored with the distinctive resin of Chios.,room_temp
Matsata,,Greek,Folegandros,Main Dish,Fresh Pasta with Sauce,Vegetable Dish,Veg,Main,Vegetables,5.7,Mild,1,6,1,1,8,1,6,2,5,2,3,6,2,,"fresh pasta, rooster or rabbit, tomato sauce, olive oil, garlic, lemon juice, oregano, feta cheese, salt",Matsata is a Cycladic fresh pasta dish often served with rooster or rabbit sauce.,hot
Melekouni,,Greek,Rhodes,Dessert,Sesame-Honey Sweet,Nut Dish,Vegan,Dessert,Nuts,6.1,Low,9,2,1,4,1,1,5,2,5,4,2,4,1,,"sesame seeds, honey, citrus peel, spices, phyllo, walnuts, cinnamon, butter",Melekouni is a traditional Rhodian sesame-and-honey sweet often served at celebrations.,room_temp
Melitinia,,Greek,Santorini,Dessert,Sweet Cheese Tart,Cheese Dish,Veg,Dessert,Cheese,4.1,Low,8,4,2,1,3,1,6,2,4,2,2,5,2,,"fresh cheese, sugar, mastic, pastry dough, phyllo, honey, walnuts, cinnamon, butter",Melitinia are Santorini Easter cheese pastries scented with mastic.,room_temp
Melitzanosalata,,Greek,Pan-Greek,Appetizer,Eggplant Dip,Vegetable Dish,Vegan,Appetizer,Vegetables,2.6,Mild,1,4,3,3,4,1,5,2,7,4,2,7,2,,"roasted eggplant, garlic, olive oil, lemon juice, parsley, yogurt","Melitzanosalata is a smoky Greek eggplant dip dressed with olive oil, lemon, and garlic.",room_temp
Melomakarona,,Greek,Pan-Greek,Dessert,Honey Cookie,Wheat Dish,Vegan,Dessert,Wheat,6.4,Low,9,2,1,2,1,1,7,2,4,3,2,5,2,,"flour, olive oil, orange, honey syrup, walnuts, garlic, lemon juice, oregano, feta cheese, salt",Melomakarona are beloved Greek holiday cookies soaked in honey syrup.,room_temp
Metsovone,,Greek,Metsovo,Appetizer,Smoked Cheese,Cheese Dish,Veg,Appetizer,Cheese,6.7,Mild,1,5,1,2,5,1,5,1,3,2,2,5,2,,"cow milk, salt, olive oil, garlic, lemon juice, oregano, feta cheese",Metsovone is a smoked semi-hard cheese from Metsovo in Epirus.,room_temp
Mizithra,Myzithra,Greek,Crete,Appetizer,Fresh Whey Cheese,Cheese Dish,Non-Veg,Appetizer,Cheese,2.6,Mild,2,5,3,1,6,1,5,1,3,2,2,5,2,,"whey, sheep or goat milk, olive oil, garlic, lemon juice, oregano, feta cheese, salt",Mizithra is a soft whey cheese central to many Cretan dishes and sweets.,room_temp
Moussaka,Mousakas,Greek,Balkans,Main Dish,Layered Casserole,Beef Dish,Non-Veg,Main,Beef,9.6,Low,1,6,2,3,9,1,8,3,7,2,4,8,2,,"eggplant, minced lamb or beef, tomato sauce, béchamel, olive oil, garlic, lemon juice, oregano, feta cheese, salt","Moussaka is Greece's famous layered casserole of eggplant, meat sauce, and béchamel.",hot
Moustalevria,,Greek,Pan-Greek,Dessert,Grape Must Pudding,Nut Dish,Vegan,Dessert,Nuts,4.1,Low,8,2,1,4,1,1,4,2,6,2,2,5,2,,"grape must, flour or starch, nuts, cinnamon, olive oil, garlic, lemon juice, oregano, feta cheese, salt",Moustalevria is a pudding made from fresh grape must during the harvest season.,room_temp
Moustokouloura,,Greek,Pan-Greek,Dessert,Grape Must Cookie,Wheat Dish,Vegan,Dessert,Wheat,4.1,Low,7,2,1,2,1,1,6,1,4,2,2,5,2,,"flour, grape must, olive oil, cinnamon, orange, garlic, lemon juice, oregano, feta cheese, salt",Moustokouloura are Greek cookies flavored with grape must and warm spices.,room_temp
Myzithropita,,Greek,Crete,Dessert,Cheese Pie,Cheese Dish,Veg,Dessert,Cheese,4.1,Low,8,4,1,1,3,1,7,2,4,2,2,5,2,,"phyllo, mizithra, sugar, cinnamon, olive oil, garlic, lemon juice, oregano, feta cheese, salt",Myzithropita is a Greek pie made with fresh mizithra cheese and often sweetened lightly.,room_temp
Octapodi xidato,Htapodi xidato,Greek,Aegean Islands,Appetizer,Marinated Octopus,Squid Dish,Pescatarian,Appetizer,Squid,2.6,Mild,1,4,4,2,5,1,6,1,3,3,2,6,2,,"octopus, vinegar, olive oil, oregano, garlic, lemon juice, feta cheese, salt","Octapodi xidato is marinated octopus seasoned with vinegar, olive oil, and herbs.",hot
Octopus stifado,,Greek,Islands,Main Dish,Octopus Stew,Squid Dish,Pescatarian,Soup,Squid,6.9,Mild,1,6,2,2,9,1,6,2,5,2,3,7,1,,"octopus, onions, tomato, wine, olive oil, garlic, oregano, cinnamon, bay leaf",Octopus stifado is a seafood variation of the beloved Greek onion stew.,hot
Ofto,,Greek,Crete,Main Dish,Roast Goat,Lamb Dish,Non-Veg,Main,Lamb,6.6,Mild,1,6,1,2,9,1,7,1,5,2,3,6,2,,"goat, olive oil, herbs, salt, garlic, lemon juice, oregano, feta cheese",Ofto is traditional Cretan roasted goat cooked simply to highlight the meat.,hot
Ouzo,,Greek,Pan-Greek,Drink,Anise Spirit,Nut Dish,Vegan,Appetizer,Nuts,5.6,Low,3,2,1,1,1,1,1,1,1,1,1,5,2,,"grape spirit, anise, botanicals, olive oil, garlic, lemon juice, oregano, feta cheese, salt",Ouzo is Greece's famous anise-flavored spirit traditionally served with meze.,room_temp
Paidakia,,Greek,Mainland Greece,Main Dish,Grilled Lamb Chops,Lamb Dish,Non-Veg,Main,Lamb,7.1,Mild,1,6,2,5,9,1,7,1,4,3,3,6,2,,"lamb chops, olive oil, lemon, oregano, garlic, feta cheese, salt",Paidakia are Greek grilled lamb chops seasoned simply with lemon and oregano.,hot
Pantzarosalata,,Greek,Pan-Greek,Appetizer,Beet Salad,Yogurt Dish,Veg,Appetizer,Yogurt,2.6,Mild,1,4,4,2,4,1,7,2,4,2,2,6,3,,"beets, garlic, olive oil, vinegar, yogurt, oregano, feta cheese, tomato, cucumber",Pantzarosalata is a Greek beet salad or spread often enriched with yogurt and garlic.,cold
Papoutsakia,Melitzanes papoutsakia,Greek,Pan-Greek,Main Dish,Stuffed Eggplant,Pork Dish,Non-Veg,Main,Mixed,5.7,Mild,1,6,1,3,9,1,8,2,5,2,3,6,2,,"eggplant, minced meat, tomato, béchamel, cheese, olive oil, garlic, lemon juice, oregano, salt",Papoutsakia are baked eggplants stuffed with meat sauce and topped with béchamel.,hot
Pasta elias,Olive paste,Greek,Pan-Greek,Appetizer,Olive Spread,Wheat Dish,Vegan,Appetizer,Wheat,5.2,Mild,1,6,2,2,4,1,5,1,4,3,3,6,2,,"olives, capers, garlic, olive oil, lemon juice, oregano, feta cheese, salt",Pasta elias is a savory olive spread served as a meze or bread topping.,room_temp
Pasteli,,Greek,Aegean Islands,Dessert,Sesame-Honey Bar,Nut Dish,Vegan,Dessert,Nuts,4.1,Low,9,2,1,1,1,1,5,1,5,4,2,4,2,,"sesame seeds, honey, nuts, olive oil, garlic, lemon juice, oregano, feta cheese, salt",Pasteli is a simple Greek sweet bar made from sesame seeds bound with honey.,room_temp
Pastitsada,,Greek,Corfu,Main Dish,Pasta with Spiced Meat Sauce,Beef Dish,Non-Veg,Main,Beef,5.7,Mild,1,6,1,1,9,2,6,2,5,2,3,6,2,,"rooster or beef, tomato sauce, spices, pasta, olive oil, garlic, lemon juice, oregano, feta cheese, salt",Pastitsada is a Corfiot pasta dish topped with aromatic spiced meat sauce.,hot
Pastitsio,,Greek,Pan-Greek,Main Dish,Baked Pasta,Beef Dish,Non-Veg,Main,Beef,7.2,Mild,1,6,1,1,9,1,7,2,5,2,3,6,2,,"tubular pasta, minced beef, tomato, béchamel, cheese, olive oil, garlic, lemon juice, oregano, salt",Pastitsio is a Greek baked pasta dish with meat sauce and béchamel.,hot
Pastourma,Pastirma,Greek,Constantinopolitan Greek,Appetizer,Cured Meat,Beef Dish,Non-Veg,Appetizer,Beef,2.6,Mild,1,5,1,5,7,1,4,1,3,2,2,6,3,,"cured beef, fenugreek paste, garlic, paprika, olive oil, lemon juice, oregano, feta cheese, salt",Pastourma is a highly seasoned cured meat enjoyed in Greek meze traditions.,hot
Patatosalata,,Greek,Pan-Greek,Appetizer,Potato Salad,Potato Dish,Vegan,Appetizer,Potatoes,2.6,Mild,1,4,3,2,4,1,5,2,3,3,2,6,2,,"potatoes, olive oil, lemon juice, parsley, onion, red wine vinegar, oregano, feta cheese, tomato, cucumber","Patatosalata is a Greek potato salad usually dressed with olive oil, lemon, and herbs.",cold
Paximadi,Paximathia,Greek,Crete,Side Dish,Barley Rusk,Wheat Dish,Vegan,Side,Wheat,2.1,Low,1,3,1,2,3,1,4,2,3,3,4,4,2,,"barley flour, wheat flour, olive oil, yeast, garlic, lemon juice, oregano, feta cheese, salt","Paximadi is a hard-baked Greek rusk, especially common in Crete and other islands.",room_temp
Peinirli,,Greek,Pan-Greek,Bread,Boat-Shaped Bread,Egg Dish,Veg,Side,Egg,4.7,Low,1,5,1,1,5,1,5,1,3,3,3,4,2,,"dough, cheese, butter, eggs, olive oil, garlic, lemon juice, oregano, salt",Peinirli is a boat-shaped baked bread filled with cheese and sometimes egg or cured meats.,hot
Perek,,Greek,Pontic,Main Dish,Layered Pastry,Cheese Dish,Veg,Main,Cheese,4.5,Mild,1,6,1,1,8,1,7,1,4,2,3,5,2,,"thin dough, cheese, butter, olive oil, garlic, lemon juice, oregano, salt","Perek is a Pontic layered pastry or pie, often filled with cheese.",room_temp
Pissara,,Greek,Kefalonia,Appetizer,Island Salad,Cheese Dish,Veg,Appetizer,Cheese,2.6,Mild,1,4,3,2,6,1,6,2,3,4,2,5,2,,"greens, sun-dried tomato, feta, pine nuts, olive oil, red wine vinegar, oregano, cucumber","Pissara is a Kefalonian salad of fresh greens, sun-dried tomato, feta, and pine nuts.",cold
Pitaroudia,,Greek,Rhodes,Appetizer,Chickpea Fritter,Chickpea Dish,Vegan,Appetizer,Chickpeas,2.6,Mild,1,4,2,1,4,1,3,2,3,3,2,6,2,,"chickpeas, tomato, onion, cumin, herbs, olive oil, garlic, lemon juice, oregano, feta cheese, salt",Pitaroudia are Rhodian chickpea fritters with herbs and spices.,hot
Politiki salata,Politiki,Greek,Constantinopolitan Greek,Appetizer,Pickled Cabbage Salad,Vegetable Dish,Vegan,Appetizer,Vegetables,2.6,Medium,1,5,4,2,4,3,4,2,3,3,2,5,2,,"cabbage, carrot, celery, peppers, vinegar, olive oil, oregano, feta cheese, tomato, cucumber",Politiki salata is a Greek salad of Asia Minor and Constantinopolitan influence featuring finely shredded vegetables.,cold
Pork tigania,,Greek,Pan-Greek,Main Dish,Pan-Fried Pork,Pork Dish,Non-Veg,Main,Pork,5.7,Medium,1,6,3,1,8,4,7,1,4,6,3,6,2,,"pork, peppers, wine, lemon, herbs, olive oil, garlic, oregano, feta cheese, salt","Pork tigania is a skillet dish of pork cooked with peppers, citrus, and seasonings.",hot
Portokalopita,,Greek,Pan-Greek,Dessert,Orange Cake,Egg Dish,Veg,Dessert,Egg,4.1,Low,8,2,3,1,1,1,5,1,4,2,3,4,3,,"phyllo, yogurt, orange, eggs, syrup, olive oil, garlic, lemon juice, oregano, feta cheese, salt",Portokalopita is a moist Greek orange cake often made with shredded phyllo.,room_temp
Prasopita,,Greek,Macedonia,Bread,Leek Pie,Cheese Dish,Veg,Side,Cheese,3.5,Low,1,4,2,2,5,1,6,1,3,2,3,4,2,,"phyllo, leeks, herbs, cheese, olive oil, garlic, lemon juice, oregano, salt",Prasopita is a savory leek pie common in northern Greek home cooking.,hot
Prasorizo,,Greek,Pan-Greek,Main Dish,Leek Rice,Rice Dish,Vegan,Main,Rice,5.7,Mild,1,6,3,2,7,1,6,1,5,2,3,6,2,,"leeks, rice, dill, olive oil, lemon, garlic, oregano, feta cheese, salt",Prasorizo is a Greek spinach-and-rice dish with herbs and lemon.,hot
Psarosoupa,,Greek,Pan-Greek,Soup,Fish Soup,Fish Dish,Pescatarian,Soup,Fish,2.8,Mild,1,6,3,2,7,1,5,1,4,1,1,6,2,,"fish, vegetables, olive oil, lemon, garlic, oregano, feta cheese, salt",Psarosoupa is a homestyle Greek fish soup flavored with olive oil and lemon.,hot
Rabbit stifado,,Greek,Peloponnese,Main Dish,Rabbit Stew,Vegetable Dish,Vegan,Soup,Vegetables,6.9,Mild,1,6,2,1,8,1,5,2,5,2,3,7,1,,"rabbit, onions, tomato, wine, cinnamon, olive oil, garlic, oregano, bay leaf",Rabbit stifado is a classic Greek countryside version of the onion-rich stew.,hot
Rakomelo,,Greek,Aegean Islands,Drink,Honey Spirit,Beverage,Vegan,Drink,,1.8,Low,5,2,1,1,1,1,1,1,1,1,1,5,2,,"tsikoudia or raki, honey, spices, olive oil, garlic, lemon juice, oregano, feta cheese, salt",Rakomelo is a warming Greek drink of spirit sweetened with honey and spices.,room_temp
Ravani,,Greek,Veria,Dessert,Semolina Cake,Egg Dish,Veg,Dessert,Egg,4.1,Low,8,2,2,1,1,1,5,1,4,2,2,4,2,,"semolina, eggs, sugar, syrup, citrus, olive oil, garlic, lemon juice, oregano, feta cheese, salt",Ravani is a syrupy semolina cake especially associated with northern Greece.,room_temp
Revithokeftedes,,Greek,Sifnos,Appetizer,Chickpea Fritter,Chickpea Dish,Vegan,Appetizer,Chickpeas,2.6,Mild,1,4,2,2,4,1,4,2,3,3,2,6,2,,"chickpeas, onion, herbs, olive oil, garlic, lemon juice, oregano, feta cheese, salt",Revithokeftedes are Sifnian chickpea fritters with herbs and onion.,hot
Revithopita,,Greek,Sifnos,Bread,Chickpea Pie,Chickpea Dish,Vegan,Side,Chickpeas,3.5,Low,1,3,1,2,3,1,4,2,3,2,3,5,2,,"chickpeas, onion, olive oil, herbs, garlic, lemon juice, oregano, feta cheese, salt",Revithopita is a Sifnian savory pie centered on chickpeas.,hot
Rizogalo,,Greek,Pan-Greek,Dessert,Rice Pudding,Milk Dish,Veg,Dessert,Milk,4.1,Low,8,2,1,1,1,1,5,2,6,2,2,5,2,,"rice, milk, sugar, cinnamon, olive oil, garlic, lemon juice, oregano, feta cheese, salt",Rizogalo is Greek rice pudding served chilled or at room temperature.,room_temp
Saganaki,,Greek,Pan-Greek,Appetizer,Fried Cheese,Cheese Dish,Veg,Appetizer,Cheese,6.7,Medium,1,5,2,1,6,2,8,1,3,6,2,5,2,,"cheese, flour, lemon juice, olive oil, garlic, oregano, salt",Saganaki is the iconic Greek fried-cheese meze served hot.,hot
Samali,,Greek,Pan-Greek,Dessert,Semolina Syrup Cake,Yogurt Dish,Veg,Dessert,Yogurt,4.1,Low,8,2,2,1,1,1,5,1,4,2,2,4,3,,"semolina, yogurt, sugar syrup, mastic, olive oil, garlic, lemon juice, oregano, feta cheese, salt",Samali is a dense syrup-soaked semolina cake.,room_temp
San Michali,,Greek,Syros,Appetizer,Hard Cheese,Cheese Dish,Veg,Appetizer,Cheese,2.6,Mild,1,5,1,1,5,1,5,1,3,2,2,5,2,,"cow milk, salt, olive oil, garlic, lemon juice, oregano, feta cheese",San Michali is a distinctive hard cheese from Syros.,room_temp
Santorini fava,Fava Santorinis,Greek,Santorini,Appetizer,Split Pea Puree,Pea Dish,Vegan,Appetizer,Peas,6.5,Mild,1,5,2,2,4,1,5,2,4,3,2,6,2,,"yellow split peas, onion, olive oil, capers, garlic, lemon juice, oregano, feta cheese, salt","Santorini fava is the island's celebrated version of Greek split-pea purée, often served with capers and onion.",hot
Sfakianopita,,Greek,"Sfakia, Crete",Dessert,Cheese Flat Pie,Cheese Dish,Veg,Dessert,Cheese,4.1,Low,8,4,1,1,3,1,7,1,4,2,2,5,2,,"thin dough, mizithra, butter, honey, olive oil, garlic, lemon juice, oregano, feta cheese, salt",Sfakianopita is a very thin cheese pie from Sfakia typically served warm with honey.,room_temp
Sfougato,,Greek,Crete,Main Dish,Omelette,Egg Dish,Veg,Main,Egg,5.7,Mild,1,6,2,1,7,3,7,1,4,2,3,5,2,,"eggs, potatoes, herbs, cheese, olive oil, garlic, lemon juice, oregano, salt",Sfougato is a Cretan baked omelette with potatoes and herbs.,hot
Skioufichta,,Greek,Crete,Main Dish,Hand-Rolled Pasta,Cheese Dish,Veg,Main,Cheese,5.7,Mild,1,6,1,2,8,1,7,1,4,2,4,5,2,,"flour, water, olive oil, cheese, garlic, lemon juice, oregano, salt",Skioufichta are hand-rolled Cretan pasta often served with butter and grated cheese.,hot
Skordalia,,Greek,Pan-Greek,Appetizer,Garlic Dip,Fish Dish,Pescatarian,Appetizer,Fish,2.6,Mild,1,4,4,2,5,1,7,2,9,5,3,6,2,,"potato or bread, garlic, olive oil, vinegar, lemon juice, yogurt",Skordalia is a pungent Greek garlic purée typically served with fried vegetables or fish.,room_temp
Skordopsomo,,Greek,Pan-Greek,Appetizer,Garlic Bread,Wheat Dish,Vegan,Appetizer,Wheat,2.6,Mild,1,4,2,2,4,1,5,1,3,3,3,6,2,,"bread, olive oil, garlic, oregano, lemon juice, feta cheese, salt",Skordopsomo is Greek garlic bread flavored with olive oil and oregano.,hot
Sofrito,,Greek,Corfu,Main Dish,Veal in White Sauce,Beef Dish,Non-Veg,Main,Beef,5.7,Mild,1,6,3,2,8,1,5,1,6,2,3,7,2,,"veal, garlic, parsley, white wine, vinegar, olive oil, lemon juice, oregano, feta cheese, salt","Sofrito is a Corfiot veal dish cooked with garlic, wine, and herbs.",room_temp
Souma,,Greek,Rhodes,Drink,Pomace Spirit,Beverage,Vegan,Drink,,4.4,Low,3,2,1,1,1,1,1,1,1,1,1,4,2,,"grape marc, wine, olive oil, garlic, lemon juice, oregano, feta cheese, salt",Souma is a strong traditional spirit associated with Rhodes and the Dodecanese.,room_temp
Soumada,,Greek,Aegean Islands,Drink,Almond Syrup Drink,Nut Dish,Vegan,Drink,Nuts,4.4,Low,6,2,1,2,1,1,1,2,1,1,1,4,2,,"almond syrup, water, sugar, olive oil, garlic, lemon juice, oregano, feta cheese, salt",Soumada is a traditional almond-based drink served chilled or diluted.,room_temp
Soutzoukakia,Smyrneika soutzoukakia,Greek,Smyrna Greek,Main Dish,Spiced Meatballs,Beef Dish,Non-Veg,Main,Beef,5.7,Mild,1,6,1,1,9,2,6,2,5,2,3,7,2,,"ground beef, garlic, cumin, tomato sauce, olive oil, lemon juice, oregano, feta cheese, salt","Soutzoukakia are elongated Greek meatballs with Asia Minor roots, usually simmered in tomato sauce.",hot
Soutzouki,,Greek,Aegean Greek,Appetizer,Spiced Sausage,Beef Dish,Non-Veg,Appetizer,Beef,2.6,Mild,1,5,1,1,6,1,4,1,3,2,2,6,2,,"beef, garlic, cumin, spices, olive oil, lemon juice, oregano, feta cheese, salt",Soutzouki is a cured and spiced sausage linked to Asia Minor Greek foodways.,hot
Souvlaki,,Greek,Pan-Greek,Main Dish,Skewered Meat,Chicken Dish,Non-Veg,Main,Chicken,7.4,Mild,1,6,1,2,9,2,5,2,4,3,3,6,2,,"pork or chicken, pita, onion, tomato, herbs, olive oil, garlic, lemon juice, oregano, feta cheese, salt",Souvlaki is the iconic Greek grilled skewer served plain or with pita and accompaniments.,hot
Spanakopita,,Greek,Pan-Greek,Bread,Savory Pie,Cheese Dish,Veg,Side,Cheese,6.4,Low,1,3,1,2,4,1,6,2,3,2,3,4,2,,"phyllo, spinach, feta, herbs, olive oil, garlic, lemon juice, oregano, salt",Spanakopita is the classic Greek spinach pie layered with phyllo and feta.,hot
Spanakorizo,,Greek,Pan-Greek,Main Dish,Spinach Rice,Rice Dish,Vegan,Main,Rice,5.7,Mild,1,6,3,2,7,1,6,2,5,2,3,6,2,,"spinach, rice, dill, olive oil, lemon, garlic, oregano, feta cheese, salt",Spanakorizo is a Greek spinach-and-rice dish with herbs and lemon.,hot
Spetsofai,,Greek,Pelion,Main Dish,Sausage and Pepper Stew,Pork Dish,Non-Veg,Soup,Pork,5.7,Medium,1,6,2,2,9,4,7,2,5,3,3,6,3,,"sausage, peppers, tomato, olive oil, onion, garlic, oregano, cinnamon, bay leaf",Spetsofai is a Pelion dish of sausage stewed with peppers and tomato.,hot
Staka me avga,Eggs with staka,Greek,Crete,Main Dish,Egg Dish,Egg Dish,Veg,Main,Egg,5.7,Mild,1,6,2,1,7,1,8,1,5,2,3,5,2,,"eggs, staka cream, butter, salt, olive oil, garlic, lemon juice, oregano, feta cheese",Staka me avga is a rich Cretan egg dish made with the buttery dairy preparation called staka.,hot
Stifado,,Greek,Pan-Greek,Main Dish,Onion Stew,Beef Dish,Non-Veg,Soup,Beef,5.7,Mild,1,6,2,1,9,2,5,2,6,2,3,7,1,,"beef or rabbit, pearl onions, tomato, wine, cinnamon, olive oil, garlic, oregano, bay leaf",Stifado is a Greek stew known for its many onions and gently spiced sauce.,hot
Strapatsada,Kagianas,Greek,Pan-Greek,Main Dish,Egg and Tomato Scramble,Egg Dish,Veg,Main,Egg,7.5,Mild,1,6,3,2,7,2,7,2,4,2,3,5,2,,"eggs, tomato, olive oil, feta, garlic, lemon juice, oregano, salt","Strapatsada is a rustic Greek scramble of eggs and tomato, sometimes enriched with feta.",hot
Syglino,,Greek,Mani,Appetizer,Smoked Pork,Pork Dish,Non-Veg,Appetizer,Pork,2.6,Mild,1,5,1,4,6,1,4,1,3,2,2,5,2,,"pork, orange peel, sage, smoke, olive oil, garlic, lemon juice, oregano, feta cheese, salt",Syglino is a Maniot preserved pork specialty with smoky and aromatic notes.,hot
Tan,Ayran Pontou,Greek,Pontic,Drink,Yogurt Drink,Yogurt Dish,Veg,Drink,Yogurt,1.8,Low,3,3,4,1,2,1,3,1,2,1,1,4,3,,"yogurt, water, salt, olive oil, garlic, lemon juice, oregano, feta cheese",Tan is a salty yogurt drink enjoyed in Pontic and broader Greek traditions.,cold
Tanomenos sorvas,,Greek,Pontic,Soup,Yogurt Grain Soup,Yogurt Dish,Veg,Soup,Yogurt,2.8,Mild,1,6,4,1,6,1,5,1,4,1,1,6,3,,"cracked wheat, yogurt, butter, mint, olive oil, garlic, lemon juice, oregano, feta cheese, salt",Tanomenos sorvas is a Pontic Greek soup made with grain and sour dairy.,hot
