dish_name,cuisine,context_string
Marinated Anchovies,Greek,Appetizer: Gavros Marinatos. Fresh anchovy fillets cured in vinegar and garlic. Intensely salty and acidic.
Grilled Mushrooms,Greek,"Appetizer: Seasonal mushrooms brushed with balsamic and thyme, grilled for a deep earthy umami."
Cucumber Salad,Greek,"Salad: Simple, refreshing sliced cucumbers tossed with dill, white vinegar, and olive oil."
Grapefruit and Fennel Salad,Greek,"Salad: Thinly sliced fennel bulb and grapefruit segments with a citrus vinaigrette. Bitter, sweet, and crunchy."
Assorted Meze Platter,Greek,"Appetizer: A sampler of olives, feta, dolmades, and various dips. The ultimate introduction to Greek flavors."
Moussaka,Greek,"Main Course: Iconic layered bake of eggplant, spiced minced meat, and potatoes topped with thick béchamel sauce. Rich and savory."
Lamb Chops (Paidakia),Greek,"Main Course: Rib lamb chops marinated in lemon, olive oil, and wild oregano, grilled over charcoal. Smoky and tender."
Pastitsio,Greek,"Main Course: Greek pasta bake with tubular noodles, a savory meat sauce with cinnamon, and a creamy béchamel topping."
Chicken Souvlaki Platter,Greek,"Main Course: Char-grilled skewered chicken with smoky flame-kissed edges, served with pita, tzatziki, and fries. A balanced, protein-rich Mediterranean staple."
Whole Grilled Branzino,Greek,Main Course: Loup de Mer. Fresh whole sea bass grilled with lemon-oil sauce (ladolemono) and herbs. Clean and coastal.
Gyro Platter,Greek,"Main Course: Thinly sliced rotisserie meat (lamb/beef/pork) served with tomato, onion, pita, and cooling tzatziki."
Roasted Lamb Shank (Kleftiko),Greek,"Main Course: Slow-cooked lamb shank, often wrapped in parchment with garlic and herbs until falling off the bone."
Shrimp Santorinio,Greek,"Main Course: Large shrimp baked in a tangy tomato sauce with ouzo, peppers, and melted feta cheese. Bold and zesty."
Pork Souvlaki,Greek,"Main Course: Cubes of tender pork marinated in Greek herbs, char-grilled with a smoky finish. Served as a platter with Mediterranean sides."
Bifteki,Greek,"Main Course: Large grilled meat patties seasoned with cumin and mint, often stuffed with feta cheese. Juicy and aromatic."
Grilled Swordfish,Greek,"Main Course: Meaty swordfish steaks seasoned with lemon and oregano. A firm, savory seafood favorite from the Aegean."
Gemista,Greek,"Main Course: Bell peppers and tomatoes stuffed with a mixture of rice, herbs, and aromatics, then baked until tender."
Youvetsi,Greek,Main Course: Traditional clay pot dish featuring braised lamb and orzo pasta in a light tomato cinnamon broth.
Grilled Red Snapper,Greek,"Main Course: Whole snapper grilled over open flame, finished with sea salt and a bright lemon-herb vinaigrette."
Lemon Potatoes with Chicken,Greek,Main Course: Classic roasted chicken served with wedges of potatoes that have absorbed lemon juice and chicken fats.
Sea Bass with Capers and Lemon,Greek,Main Course: Pan-seared sea bass fillets topped with a briny caper and lemon butter sauce. Tangy and sophisticated.
Lamb Kebabs,Greek,"Main Course: Minced lamb mixed with onions and parsley, char-grilled on skewers. Intense flavor with a smoky tandoori-style finish."
Rabbit Stifado,Greek,Main Course: Traditional stew featuring rabbit slow-cooked with many small pearl onions in a red wine and vinegar sauce.
Beef Stifado,Greek,"Main Course: Hearty beef stew with pearl onions, cinnamon, and cloves. A sweet-savory comfort dish with deep acidity."
Soutzoukakia,Greek,"Main Course: Oblong cumin-scented meatballs simmered in a thick, rich tomato sauce. Smells aromatic and tastes bold."
Spanakorizo,Greek,"Main Course: A nutritious one-pot dish of spinach and rice cooked with lemon, dill, and plenty of olive oil."
Cod with Garlic Sauce,Greek,Main Course: Bakaliaros. Fried salt cod served with a very sharp garlic-potato puree (skordalia). Salty and pungent.
Grilled Calamari,Greek,Main Course: Large whole squid marinated in lemon and herbs then charred on the grill. Smoky and springy.
Roasted Leg of Lamb,Greek,"Main Course: Celebration centerpiece. Leg of lamb rubbed with garlic and rosemary, slow-roasted until succulent."
Baked Fish in Parchment,Greek,"Main Course: Psari sto Harti. Fish fillets steamed in paper with vegetables, lemon, and white wine. Light and fragrant."
Shrimp Souvlaki,Greek,"Main Course: Skewered grilled shrimp marinated in lemon, garlic, and wild oregano. Light, smoky, and coastal."
Chicken Kapama,Greek,"Main Course: Chicken braised in a rich tomato sauce spiced with cinnamon, cloves, and allspice. Warming and aromatic."
Lamb Shank with Orzo,Greek,Main Course: Giouvetsi. Slow-roasted lamb shank served over small rice-shaped pasta in a savory tomato broth.
Eggplant Papoutsakia,Greek,"Main Course: 'Little Shoes.' Stuffed eggplant halves with meat sauce and béchamel, baked until golden and bubbly."
Grilled Salmon with Herbs,Greek,"Main Course: Fresh salmon fillet seasoned with dill, lemon, and olive oil, grilled over charcoal. Rich and healthy."
Braised Octopus in Red Wine,Greek,Main Course: Htapodi Krasato. Octopus slow-simmered in a dark red wine sauce with onions and bay leaves.
Whole Roasted Dorade,Greek,"Main Course: Tsipoura. Mediterranean sea bream roasted whole with sea salt, lemon, and a drizzle of olive oil."
Seafood Platter Aegean Style,Greek,"Main Course: A grand assortment of grilled fish, calamari, shrimp, and mussels. The quintessential island feast."
Pork Belly Greek Style,Greek,"Main Course: Slow-roasted pork belly with a crackling skin, seasoned with salt, pepper, and dried oregano."
Stuffed Squid,Greek,"Main Course: Whole squid tubes filled with a savory mixture of rice, herbs, and pine nuts, then braised or grilled."
Veggie Moussaka,Greek,"Main Course: A meatless version of the classic layered bake using lentils or mushrooms, eggplant, and béchamel."
Swordfish Brochettes,Greek,"Main Course: Cubes of swordfish skewered with bay leaves and lemon slices, grilled to a meaty perfection."
Chicken Thighs with Artichokes,Greek,"Main Course: Chicken and hearts of artichoke simmered in a bright, tangy egg-lemon (avgolemono) sauce."
Mussels with Feta and Tomato,Greek,"Main Course: Fresh mussels cooked in a spicy tomato and garlic sauce, finished with a generous crumble of feta."
Grilled Tuna Steak,Greek,"Main Course: Thick-cut tuna seasoned simply and seared over high heat. A firm, savory, and protein-packed meal."
Lemon Herb Meatballs,Greek,"Main Course: Light beef or chicken meatballs seasoned heavily with mint and lemon zest, served in a light sauce."
Braised Short Ribs Greek Style,Greek,"Main Course: Beef short ribs slow-cooked with red wine, cinnamon, and garlic until tender. Deeply savory and rich."
Lobster Pasta,Greek,Main Course: Astakomakaronada. Traditional Aegean luxury dish of fresh lobster and spaghetti in a light tomato-herb sauce.
Roast Chicken with Herbs and Lemon,Greek,"Main Course: Kotopoulo sto Fourno. Whole chicken roasted with potatoes, garlic, and wild mountain oregano."
Grilled Porgy,Greek,"Main Course: A sweet, flaky white fish (Fagri) grilled whole and served with a zesty lemon-caper vinaigrette."
Lamb Loin Chops,Greek,"Main Course: Thick-cut lamb loin seasoned with rosemary and lemon, seared to medium-rare for a juicy, fatty finish."
Veggie Platter (Lahanika),Greek,"Main Course: A selection of roasted Mediterranean vegetables, stuffed peppers, and baked beans. Healthy and vibrant."
Skewered Scallops,Greek,"Main Course: Tender sea scallops grilled on skewers with bell peppers and onions, basted in lemon butter."
Baked Branzino with Herbs,Greek,"Main Course: Fillets of sea bass baked in the oven with fresh dill, parsley, and sliced lemons. Clean and fragrant."
Mixed Grill Platter,Greek,"Main Course: A festive combination of pork and chicken souvlaki, lamb chops, and bifteki. The ultimate meat lover's meal."
Baklava,Greek,"Dessert: Layers of crisp phyllo pastry filled with chopped walnuts and cinnamon, soaked in a thick honey syrup. Iconic and crunchy."
Galaktoboureko,Greek,Dessert: Semolina custard baked in phyllo pastry and drenched in lemon-scented syrup. Creamy interior with a flaky crust.
Loukoumades,Greek,"Dessert: Small deep-fried golden dough puffs drizzled with honey, cinnamon, and walnuts. Often called Greek donuts."
Greek Yogurt with Honey & Walnuts,Greek,"Dessert: Thick, strained yogurt topped with artisanal thyme honey and crunchy walnuts. A healthy and refreshing classic."
Kataifi,Greek,Dessert: Shredded 'shredded wheat' style phyllo dough wrapped around a nut filling and soaked in aromatic syrup.
Rizogalo,Greek,"Dessert: Traditional creamy rice pudding dusted with plenty of cinnamon. A comforting, mild milk-based treat."
Karidopita,Greek,"Dessert: A moist walnut cake infused with cinnamon and cloves, then soaked in a light sugar syrup. Spicy and nutty."
Revani,Greek,"Dessert: A classic semolina sponge cake soaked in lemon syrup. It has a unique grainy texture and a bright, zesty finish."
Melomakarona,Greek,"Dessert: Egg-shaped honey cookies flavored with orange zest and cinnamon, topped with crushed walnuts. A Christmas staple."
Kourabiedes,Greek,"Dessert: Shortbread-style almond cookies heavily dusted with powdered sugar. Buttery, crumbly, and melt-in-the-mouth."
Bougatsa,Greek,Dessert: A phyllo pastry pie filled with sweet semolina custard and dusted with cinnamon and icing sugar. Served warm.
Ekmek Kataifi,Greek,"Dessert: Three-layered sweet: kataifi base, a thick custard middle, and topped with fresh whipped cream and pistachios."
Portokalopita,Greek,"Dessert: An orange phyllo cake made with dried pastry shreds, yogurt, and fresh orange juice. Intensely citrusy and moist."
Halva,Greek,"Dessert: Semolina-based pudding cooked with olive oil, nuts, and raisins, flavored with cinnamon. Vegan-friendly and dense."
Spoon Sweets,Greek,"Dessert: Glyka tou Koutaliou. Preserved fruits (like cherry or quince) in a thick syrup, traditionally served as a gesture of hospitality."
Samali,Greek,"Dessert: A dense, chewy semolina cake flavored with mastic resin and decorated with whole almonds."
Mastic Ice Cream,Greek,"Dessert: Kaimaki. A unique, chewy ice cream flavored with the resin of the mastic tree. Aromatic and floral."
Lemon Yogurt Cake,Greek,"Dessert: A light, airy sponge cake made with Greek yogurt and fresh lemon juice. Tangy, moist, and refreshing."
Diples,Greek,"Dessert: Thin sheets of dough folded into spirals, deep-fried until crisp, and drizzled with honey and walnuts."
Almond Cookies,Greek,Dessert: Amygdalota. Naturally gluten-free chewy almond macaroons flavored with rosewater or citrus.
Pistachio Baklava,Greek,"Dessert: A premium variation of baklava using roasted pistachios for a rich, buttery, and nutty profile."
Fig and Honey Cake,Greek,"Dessert: A rustic cake featuring dried Mediterranean figs and local honey. Dense, earthy, and sweet."
Honey Cheesecake,Greek,Dessert: Melopita. A traditional island cheesecake made with mizithra cheese and honey. Crustless and creamy.
Chocolate Baklava,Greek,"Dessert: A modern twist on the classic, featuring dark chocolate layers between the honey-soaked phyllo and walnuts."
Tahini Brownies,Greek,"Dessert: Rich, fudgy brownies made with sesame paste (tahini) for a nutty, slightly bitter, and sophisticated depth."
Loukoumi,Greek,Dessert: Traditional jelly-like delight dusted with powdered sugar and flavored with rosewater or mastic. Chewy and floral.
Walnut and Honey Tart,Greek,"Dessert: A rich, buttery tart shell filled with a dense mixture of local walnuts and aromatic honey."
Pasteli,Greek,"Dessert: An ancient energy bar made of toasted sesame seeds and honey. Crunchy, nutty, and naturally sweet."
Apple Phyllo Tart,Greek,"Dessert: Spiced apples wrapped in crispy, buttery phyllo sheets. A Mediterranean take on apple pie with cinnamon."
Quince Preserves,Greek,"Dessert: Glyko Kydoni. Quince fruit slow-cooked in sugar syrup until deep red. Served as a thick, chewy spoon sweet."
Semolina Pudding,Greek,"Dessert: Halvas. A stovetop pudding made with semolina, olive oil, and raisins, scented with cloves and cinnamon."
Yogurt Sorbet,Greek,"Dessert: A light, tart frozen treat made from strained Greek yogurt and honey. Refreshing and palate-cleansing."
Dried Figs with Walnuts,Greek,"Dessert: Sun-dried Mediterranean figs stuffed with toasted walnut halves. A simple, rustic, and healthy treat."
Cinnamon Rice Cake,Greek,"Dessert: A dense, baked rice pudding cake with a caramelized cinnamon crust. Comforting and aromatic."
Phyllo Roses with Syrup,Greek,"Dessert: Decorative roses made of thin phyllo dough, deep-fried until crisp and dipped in citrus-honey syrup."
Grape Must Pudding,Greek,Dessert: Moustalevria. A traditional pudding made from grape must thickened with flour and topped with sesame.
Sour Cherry Tart,Greek,Dessert: A vibrant tart featuring preserved sour cherries (vyssino) on a crumbly shortcrust base. Tangy and sweet.
Chocolate Mousse with Olive Oil,Greek,"Dessert: Modern fusion mousse using high-quality dark chocolate and extra virgin olive oil for a silky, savory finish."
Greek Coffee Cake,Greek,"Dessert: A moist sponge cake infused with the bold, earthy flavors of unfiltered Greek coffee and cardamom."
Honey Cookies,Greek,"Dessert: Soft, spiced cookies made with olive oil and orange juice, finished with a heavy drizzle of thyme honey."
Spiced Poached Figs,Greek,Dessert: Whole figs simmered in red wine and honey with cinnamon sticks and star anise. Sophisticated and fruity.
Pistachio Semolina Cake,Greek,"Dessert: A grainy, syrup-soaked sponge cake featuring roasted Aegina pistachios and lemon zest."
Greek Fruit Platter with Yogurt,Greek,Dessert: Seasonal Mediterranean fruits served with a side of thick honeyed yogurt and fresh mint.
Chocolate Salami Greek Style,Greek,"Dessert: Mosaiko. A no-bake chocolate log with crushed biscuits and nuts, served in chilled slices."
Sesame Brittle,Greek,"Dessert: Thinner and crispier than pasteli, this brittle features caramelized sugar and toasted sesame seeds."
Mastic Panna Cotta,Greek,"Dessert: A silky cream pudding flavored with the unique, pine-like resin of the Chios mastic tree."
Orange Semolina Cake,Greek,"Dessert: Portokalopita variation. A dense, citrusy cake made with semolina flour and fresh orange reduction."
Greek Custard Pie,Greek,"Dessert: A simpler version of Galaktoboureko, featuring a thick egg-custard base and a light pastry topping."
Walnut Cake with Syrup,Greek,Dessert: Karidopita. A heavily spiced walnut sponge cake that has been completely saturated with sweet clove syrup.
Assorted Greek Dessert Platter,Greek,"Dessert: A sampler of baklava, kataifi, and almond cookies. The perfect way to explore Greek sugar craft."
Calamari Fritti,Italian,Appetizer: Lightly floured and deep-fried squid rings served with spicy marinara or lemon. Classic crispy seafood meze.
Bruschetta al Pomodoro,Italian,"Appetizer: Toasted rustic bread rubbed with garlic and topped with diced tomatoes, fresh basil, and extra virgin olive oil."
Arancini,Italian,"Appetizer: Sicilian fried risotto balls stuffed with ragu, peas, and mozzarella. Golden, crunchy, and savory."
Burrata with Prosciutto,Italian,Appetizer: Creamy-centered burrata cheese paired with thin slices of salt-cured Parma ham. Decadent and silky.
Caprese Salad,Italian,"Appetizer: Fresh buffalo mozzarella, vine-ripened tomatoes, and basil leaves drizzled with balsamic glaze. Bright and herbal."
Beef Carpaccio,Italian,"Appetizer: Paper-thin slices of raw beef eye round topped with arugula, shaved parmesan, and lemon-olive oil dressing."
Mussels Fra Diavolo,Italian,"Appetizer: Fresh mussels steamed in a spicy, fiery tomato broth with garlic and crushed red pepper flakes."
Clams Oreganata,Italian,"Appetizer: Baked clams on the half-shell topped with seasoned breadcrumbs, garlic, and dried oregano. Salty and toasted."
Polpette,Italian,"Appetizer: Traditional braised meatballs made of beef and pork, simmered in a slow-cooked pomodoro sauce."
Focaccia with Rosemary,Italian,"Appetizer: Flat oven-baked bread dimpled by hand and seasoned with sea salt, fresh rosemary, and plenty of olive oil."
Fried Zucchini Flowers,Italian,"Appetizer: Delicate squash blossoms stuffed with ricotta or mozzarella, battered and fried until airy and crisp."
Grilled Octopus,Italian,"Appetizer: Charred octopus tentacles seasoned with lemon and parsley. Smoky, tender, and high in umami."
Tuna Tartare,Italian,"Appetizer: Fresh raw ahi tuna diced with capers, shallots, and citrus. A light, refined, and oceanic starter."
Eggplant Rollatini,Italian,"Appetizer: Thinly sliced eggplant fried and rolled with a ricotta herb filling, then baked in tomato sauce and mozzarella."
Prosciutto e Melone,Italian,Appetizer: The classic sweet-and-salty pairing of cured ham wrapped around ripe cantaloupe wedges.
Garlic Knots,Italian,"Appetizer: Pizza dough tied in knots, baked, and tossed in a heavy glaze of melted butter, minced garlic, and parsley."
Fried Smelts,Italian,Appetizer: Small whole fish lightly breaded and fried. A traditional coastal snack eaten whole for a salty crunch.
Grilled Artichokes,Italian,Appetizer: Seasonal artichoke hearts charred over an open flame and served with a lemon-garlic aioli.
Crostini di Fegato,Italian,"Appetizer: Tuscan-style toasted bread topped with a rich, savory chicken liver pate. Deeply earthy and umami."
Stuffed Cherry Peppers,Italian,"Appetizer: Spicy pickled cherry peppers filled with prosciutto and provolone cheese. Tangy, sharp, and fiery."
Shrimp Scampi Appetizer,Italian,"Appetizer: Large shrimp sautéed in a rich sauce of butter, garlic, white wine, and fresh lemon juice."
Mozzarella in Carrozza,Italian,"Appetizer: A 'cheese in a carriage.' Deep-fried mozzarella sandwich with a golden, crispy breadcrumb crust."
Roasted Peppers with Anchovies,Italian,"Appetizer: Sweet roasted bell peppers layered with salty anchovy fillets and garlic. A bold, traditional antipasto."
Panzanella Salad,Italian,"Appetizer: Tuscan bread salad with soaked stale bread, tomatoes, onions, and cucumbers in a vinegar-heavy dressing."
Vitello Tonnato,Italian,"Appetizer: Chilled, thinly sliced veal covered in a creamy, velvety sauce flavored with tuna, capers, and anchovies."
Minestrone Soup,Italian,"Soup: Hearty vegetable soup with beans, pasta, and seasonal greens in a light tomato broth. Healthy and rustic."
Pasta e Fagioli,Italian,"Soup: Traditional 'pasta and beans' stew. Thick, comforting, and rich in plant-based protein with rosemary notes."
Scamorza Affumicata,Italian,"Appetizer: Pan-seared smoked cow's milk cheese. Golden-crusted, gooey, and intensely smoky."
Baccala Mantecato,Italian,"Appetizer: Venetian whipped salt cod mousse served on grilled polenta or crostini. Creamy, salty, and oceanic."
Suppli al Telefono,Italian,Appetizer: Roman rice croquettes filled with mozzarella that 'strings' like a telephone wire when pulled. Crunchy and cheesy.
Spiedini alla Romana,Italian,"Appetizer: Skewered bread and mozzarella sandwiches, drenched in a savory anchovy and butter sauce."
Escarole and Beans,Italian,"Appetizer: Sautéed bitter escarole greens with cannellini beans, garlic, and red pepper flakes. Simple and earthy."
Marinated Olives,Italian,"Appetizer: Medley of Castelvetrano and Gaeta olives marinated in citrus zest, chili, and extra virgin olive oil."
White Bean Dip with Crostini,Italian,"Appetizer: Pureed cannellini beans with garlic, sage, and lemon, served with toasted sourdough. Silky and savory."
Grilled Scallops with Lemon,Italian,"Appetizer: Fresh sea scallops seared with a bright gremolata of lemon, parsley, and toasted garlic."
Truffle Arancini,Italian,Appetizer: Fried risotto balls infused with black truffle oil and stuffed with taleggio cheese. Earthy and decadent.
Culatello with Figs,Italian,"Appetizer: Rare, premium salt-cured ham paired with ripe seasonal figs. The pinnacle of sweet-savory Italian meze."
Bresaola with Arugula,Italian,"Appetizer: Air-dried salted beef sliced paper-thin, topped with peppery arugula, lemon, and shaved Parmigiano."
Fontina Fonduta,Italian,"Appetizer: Val d'Aosta style cheese fondue made with Fontina, milk, and egg yolks. Served with bread for dipping."
Fried Olives All'Ascolana,Italian,"Appetizer: Large green olives stuffed with spiced minced meat, breaded, and deep-fried. A crunchy, savory surprise."
Caponata Siciliana,Italian,"Appetizer: Sicilian sweet and sour eggplant relish with celery, capers, and olives in a tangy tomato base."
Panelle,Italian,"Appetizer: Sicilian chickpea flour fritters. Thin, crispy, and savory street food traditionally served with lemon."
Steamed Cockles,Italian,"Appetizer: Tiny, sweet clams steamed in a broth of white wine, garlic, and spicy peperoncino."
Lobster Ravioli Appetizer,Italian,"Appetizer: Hand-made pasta parcels filled with sweet lobster meat, served in a light saffron or tomato cream sauce."
Shishito Peppers with Parmesan,Italian,Appetizer: Blistered mild peppers finished with sea salt and a heavy dusting of aged Parmesan cheese.
Polenta Fries,Italian,Appetizer: Sticks of firm cornmeal polenta fried until golden and served with a spicy arrabbiata dipping sauce.
Sardines in Saor,Italian,"Appetizer: Venetian sweet and sour sardines preserved with onions, pine nuts, raisins, and plenty of vinegar."
Stracciatella Soup,Italian,"Soup: Roman 'torn rag' soup made of meat broth with drizzled egg, parmesan, and nutmeg. Light and velvety."
Roasted Garlic with Ricotta,Italian,Appetizer: Whole roasted garlic cloves spread onto fresh sheep's milk ricotta and toasted ciabatta. Sweet and pungent.
Antipasto Misto Platter,Italian,"Appetizer: A curated selection of cured meats, cheeses, marinated vegetables, and olives. The ultimate starter."
Lasagna Bolognese,Italian,"Main Course: Traditional layered pasta with slow-cooked beef and pork ragu, creamy béchamel, and parmesan cheese."
Spaghetti Carbonara,Italian,"Main Course: Roman pasta dish with eggs, pecorino romano, guanciale, and black pepper. Creamy and peppery."
Chicken Parmigiana,Italian,Main Course: Breaded chicken breast fried and topped with marinara sauce and melted mozzarella. Comforting and crispy.
Fettuccine Alfredo,Italian,"Main Course: Flat thick noodles tossed in a rich, velvety sauce of butter and aged parmesan cheese."
Veal Marsala,Italian,Main Course: Thin veal cutlets sautéed with mushrooms in a sweet and savory Marsala wine reduction.
Osso Buco,Italian,"Main Course: Milanese specialty of cross-cut veal shanks braised with vegetables, white wine, and broth."
Eggplant Parmigiana,Italian,"Main Course: Layered eggplant slices fried and baked with tomato sauce, basil, and mozzarella. Vegetarian comfort."
Penne alla Vodka,Italian,Main Course: Pasta in a smooth tomato-cream sauce with a splash of vodka and red pepper flakes.
Rigatoni Amatriciana,Italian,"Main Course: Hearty ridged pasta with a sauce of guanciale (cured pork jowl), pecorino, and tomato."
Linguine alle Vongole,Italian,"Main Course: Long pasta with fresh clams, garlic, white wine, and parsley. A light, oceanic classic."
Chicken Piccata,Italian,"Main Course: Sautéed chicken breast in a bright, tangy sauce of lemon, butter, and briny capers."
Saltimbocca alla Romana,Italian,"Main Course: 'Jumps in the mouth.' Veal lined with prosciutto and sage, sautéed in white wine."
Risotto alla Milanese,Italian,Main Course: Creamy arborio rice infused with saffron and finished with butter and parmesan. Vibrant yellow.
Pappardelle with Wild Boar Ragu,Italian,"Main Course: Wide ribbon pasta served with a rustic, slow-simmered wild game meat sauce."
Gnocchi Sorrento,Italian,Main Course: Soft potato dumplings baked in a bright tomato sauce with fresh mozzarella and fragrant basil.
Lobster Fra Diavolo,Italian,"Main Course: Succulent lobster meat and pasta in a spicy, fiery tomato sauce with garlic and herbs."
Veal Milanese,Italian,"Main Course: Thinly pounded veal chop, breaded and pan-fried until golden. Served with lemon or arugula salad."
Branzino al Forno,Italian,"Main Course: Whole Mediterranean sea bass roasted with herbs, lemon, and olive oil. Clean and delicate."
Cacio e Pepe,Italian,Main Course: Minimalist Roman pasta with high-quality pecorino romano cheese and toasted black pepper.
Bucatini all'Amatriciana,Italian,"Main Course: Thick hollow spaghetti in a savory, spicy sauce of guanciale, tomato, and pecorino."
Chicken Marsala,Italian,Main Course: Golden pan-fried chicken thighs or breast in a rich mushroom and fortified wine sauce.
Seafood Cioppino,Italian,"Main Course: San Francisco-Italian tomato-based seafood stew with fish, clams, mussels, and shrimp."
Pork Osso Buco,Italian,Main Course: A rustic variation using pork shanks slow-braised until the meat falls off the bone.
Tortellini in Brodo,Italian,"Main Course: Hand-folded meat-filled pasta served in a clear, intensely flavored capon or chicken broth."
Tagliatelle al Tartufo,Italian,"Main Course: Ribbon pasta tossed in a luxurious, earthy sauce of butter and shaved black or white truffles."
Bistecca alla Fiorentina,Italian,"Main Course: Massive T-bone steak from Chianina cattle, grilled over wood coals. Seasoned simply with salt and olive oil."
Shrimp Fra Diavolo,Italian,"Main Course: Plump shrimp in a spicy, 'devilish' tomato sauce with heavy garlic and red chili flakes."
Veal Saltimbocca,Italian,"Main Course: Thin veal cutlets wrapped with prosciutto and sage, sautéed in white wine and butter. Salty and herbal."
Manicotti,Italian,"Main Course: Large pasta tubes stuffed with a mixture of ricotta, mozzarella, and herbs, baked in marinara sauce."
Baked Ziti,Italian,"Main Course: Tubular pasta mixed with tomato sauce and ricotta, topped with a thick layer of melted mozzarella cheese."
Lobster Risotto,Italian,Main Course: Luxurious creamy arborio rice cooked in a rich lobster stock with tender chunks of lobster meat.
Ravioli di Zucca,Italian,"Main Course: Pumpkin or butternut squash filled pasta with a brown butter and sage sauce. Sweet, nutty, and savory."
Spaghetti alle Vongole,Italian,"Main Course: The ultimate seaside pasta. Spaghetti tossed with fresh littleneck clams, garlic, oil, and white wine."
Cavatelli with Sausage & Broccoli Rabe,Italian,"Main Course: Hand-rolled pasta with crumbled spicy Italian sausage and bitter, garlicky broccoli rabe."
Salmon with Pesto,Italian,"Main Course: Pan-seared salmon fillet topped with a vibrant, aromatic basil-pine nut pesto. Rich and herb-forward."
Veal Chop Valdostana,Italian,"Main Course: Thick veal chop stuffed with fontina cheese and prosciutto, breaded and pan-fried. Decadent and cheesy."
Pork Milanese,Italian,"Main Course: Thinly pounded pork cutlet, breaded and fried until golden. Often served with a crisp arugula salad."
Orecchiette with Sausage & Broccoli Rabe,Italian,Main Course: 'Little ear' pasta served with traditional Apulian flavors of spicy pork sausage and bitter greens.
Chicken Francese,Italian,"Main Course: Egg-battered chicken breasts sautéed in a silky, bright lemon and white wine butter sauce."
Short Rib Pappardelle,Italian,Main Course: Wide pasta ribbons served with beef short ribs that have been slow-braised until tender and shreddable.
Linguine Pescatore,Italian,"Main Course: 'Fisherman's pasta' loaded with a medley of mussels, clams, shrimp, and calamari in a light tomato broth."
Mushroom Risotto,Italian,"Main Course: Creamy, slow-stirred rice with wild porcini mushrooms, finished with parmesan and truffle oil."
Veal Piccata,Italian,"Main Course: Tender veal medallions in a piquant sauce of lemon, butter, and salty capers."
Rack of Lamb with Rosemary,Italian,"Main Course: Roasted lamb chops crusted with fresh rosemary, garlic, and olive oil. Smoky and intensely aromatic."
Spaghetti Pomodoro,Italian,"Main Course: The foundation of Italian cuisine. Spaghetti with a simple sauce of San Marzano tomatoes, garlic, and basil."
Braised Rabbit,Italian,"Main Course: Coniglio alla Cacciatora. Rabbit slow-cooked with tomatoes, onions, olives, and rosemary. Rustic and gamey."
Egg Yolk Raviolo,Italian,"Main Course: A single large ravioli containing a whole runny egg yolk and ricotta, finished with brown butter and sage."
Mafalde with Sunday Sauce,Italian,"Main Course: Ruffled-edge pasta served with a rich, multi-meat tomato sauce that has simmered for hours."
Branzino al Cartoccio,Italian,"Main Course: Mediterranean sea bass baked in a parchment paper pouch with citrus, herbs, and white wine."
Veal Chop Parmigiana,Italian,"Main Course: A premium, bone-in veal chop prepared in the classic parmigiana style with marinara and mozzarella."
Tiramisu,Italian,"Dessert: Layered 'pick-me-up' with espresso-soaked ladyfingers, creamy mascarpone, and cocoa powder. Bold and velvety."
Cannoli,Italian,"Dessert: Crispy pastry shells filled with a sweet, creamy ricotta mixture, often studded with chocolate or pistachios."
Panna Cotta,Italian,"Dessert: 'Cooked cream' set with gelatin. A silky, delicate, and wobbling cream pudding often served with berry coulis."
Affogato al Caffe,Italian,"Dessert: A scoop of vanilla gelato 'drowned' in a shot of hot, intense espresso. The ultimate hot-cold contrast."
Gelato,Italian,"Dessert: Traditional Italian ice cream, denser and more intensely flavored than American styles, served at a warmer temp."
Zeppole,Italian,"Dessert: Light, deep-fried dough balls dusted with powdered sugar. An Italian street food favorite often served at feasts."
Ricotta Cheesecake,Italian,"Dessert: Torta di Ricotta. A lighter, grainier cheesecake made with fresh sheep or cow's milk ricotta and citrus zest."
Warm Chocolate Budino,Italian,"Dessert: A rich, molten chocolate pudding or cake with a decadent gooey center and a touch of sea salt."
Lemon Sorbetto,Italian,"Dessert: A frozen, dairy-free treat made with intense Sicilian lemon juice and sugar. Palate-cleansing and sharp."
Chocolate Budino,Italian,"Dessert: A silky, chilled chocolate custard topped with whipped cream or olive oil and sea salt. Deeply umami."
Biscotti,Italian,Dessert: Cantucci. Twice-baked almond cookies designed for dipping into coffee or sweet Vin Santo wine. Hard and crunchy.
Semifreddo,Italian,Dessert: 'Half-frozen' mousse-like treat that has the texture of frozen velvet. Richer and airier than standard ice cream.
Flourless Chocolate Cake,Italian,"Dessert: Torta Caprese. A dense, dark chocolate and almond cake with a moist center and a crackly top."
Amaretti Cookies,Italian,"Dessert: Small, dome-shaped macaroons made from bitter almonds or apricot kernels. Crunchy, sweet, and nutty."
Panettone Bread Pudding,Italian,Dessert: A comforting bake made from pieces of buttery Panettone fruit bread soaked in a rich egg custard.
Torrone,Italian,"Dessert: Traditional nougat made of honey, sugar, and egg whites, packed with toasted almonds or hazelnuts."
Zabaglione with Berries,Italian,"Dessert: An airy, frothy custard made of egg yolks, sugar, and sweet Marsala wine, served over fresh seasonal fruit."
Sfogliatella,Italian,Dessert: 'Small leaves.' A lobster-tail shaped pastry with dozens of paper-thin layers filled with sweet semolina ricotta.
