dish_name,alternate_alias,cuisine_name,region,category,sub_category,main_ingredient_category,dietary_type,course,primary_protein,dish_importance_score,spice_level,sweet_score,salt_score,sour_score,bitter_score,umami_score,spicy_score,rich_fat_score,astringency_score,viscosity_score,crunchy_score,chewy_score,aromatic_score,funk_score,rating,ingredients,description
Pé-de-Moça,,Brazilian,National,Dessert,Candy,Peanut Dish,Veg,Dessert,Peanuts,3.1,Low,9,1,1,1,1,1,8,2,3,4,2,4,1,,"peanuts, condensed milk, sugar, butter, garlic, onion, salt, lime, oil, black pepper","Pé-de-Moça is a softer, creamier Brazilian peanut candy compared with the crunchier pé-de-moleque. It is common in home sweet-making and festive trays."
Quebra-Queixo,,Brazilian,National,Dessert,Candy,Coconut Dish,Vegan,Dessert,Coconut,3.1,Low,9,1,1,1,1,1,4,1,3,2,3,4,1,,"coconut, sugar, glucose syrup, garlic, onion, salt, lime, oil, black pepper",Quebra-Queixo is a firm coconut candy found in Brazilian sweet traditions and street markets. It is intensely sweet and chewy.
Queijadinha,,Brazilian,National,Dessert,Tart,Cheese Dish,Veg,Dessert,Cheese,3.1,Low,9,2,1,1,2,1,7,1,3,2,3,4,2,,"coconut, cheese, eggs, sugar, butter, garlic, onion, salt, lime, oil, black pepper","Queijadinha is a small Brazilian baked sweet that combines coconut and cheese for a rich, chewy texture. It is commonly found in bakeries and home baking."
Queijo Coalho Assado,Grilled Coalho Cheese,Brazilian,Northeast,Snack,Grilled Cheese,Cheese Dish,Veg,Snack,Cheese,5.1,Mild,1,6,1,2,6,1,8,1,2,4,2,5,2,,"queijo coalho, oregano, butter, garlic, onion, salt, lime, oil, black pepper","Queijo Coalho Assado is grilled northeastern cheese, often sold on beaches and at street stands. Its salty flavor and squeaky texture make it a popular snack."
Quibebe,,Brazilian,Northeast,Side Dish,Squash Puree,Vegetable Dish,Veg,Soup,Squash,1.7,Low,1,3,1,2,3,1,5,1,7,2,2,5,1,,"squash, onion, garlic, butter, herbs, salt, lime, oil, black pepper",Quibebe is a Brazilian squash dish that can be served as a purée or soft stew. It is especially associated with northeastern and rustic country cooking.
Quindim,,Brazilian,National,Dessert,Custard,Egg Dish,Veg,Dessert,Egg,6.4,Low,9,1,1,1,1,1,8,1,7,1,1,3,1,,"egg yolks, sugar, coconut, butter, garlic, onion, salt, lime, oil, black pepper","Quindim is a glossy Brazilian coconut-and-egg-yolk dessert with Portuguese roots and a distinctive yellow top. It is sweet, dense, and very rich."
Rabada com Agrião,,Brazilian,National,Main Dish,Oxtail Stew,Beef Dish,Non-Veg,Soup,Beef,4.4,Mild,1,6,1,1,9,1,6,2,5,1,3,7,1,,"oxtail, watercress, tomato, onion, garlic, broth, bay leaf, cumin, coconut milk, palm oil",Rabada com Agrião is a hearty Brazilian oxtail stew commonly served with rice or polenta. The watercress adds freshness to the rich meat and sauce.
Risole,Rissole,Brazilian,National,Snack,Stuffed Pastry,Chicken Dish,Non-Veg,Snack,Chicken,5.4,Mild,1,5,1,1,7,2,8,1,2,8,3,4,2,,"dough, chicken or cheese, breadcrumbs, oil, garlic, onion, salt, lime, black pepper","Risole is a popular Brazilian snack consisting of soft dough filled with savory ingredients, breaded, and fried. It is common in bakeries and party assortments."
Romeu e Julieta,,Brazilian,Minas Gerais,Dessert,Cheese and Fruit,Cheese Dish,Veg,Dessert,Cheese,5.5,Low,9,3,1,1,3,1,7,1,3,2,2,4,2,,"Minas cheese, guava paste, garlic, onion, salt, lime, oil, black pepper",Romeu e Julieta is the classic Brazilian pairing of white cheese and guava paste. The contrast of salty dairy and sweet fruit defines this simple dessert.
Rosquinha de Coco,,Brazilian,National,Dessert,Cookie,Coconut Dish,Veg,Dessert,Coconut,5.5,Low,9,1,1,1,1,1,5,1,3,4,2,4,1,,"flour, coconut, sugar, eggs, butter, garlic, onion, salt, lime, oil, black pepper","Rosquinha de Coco is a ring-shaped coconut cookie popular in Brazilian bakeries and homes. It is sweet, crisp, and ideal with coffee."
Rubacão,,Brazilian,Paraíba,Main Dish,Rice and Bean Dish,Cheese Dish,Non-Veg,Main,Cheese,4.4,Mild,1,6,1,1,9,2,8,2,6,2,3,5,2,,"rice, beans, cheese, dried meat, milk or cream, garlic, onion, salt, lime, oil, black pepper","Rubacão is a hearty Paraíba variation on rice-and-bean dishes, often enriched with cheese and meat. It is rustic, filling, and rooted in the sertão."
Sagu de Vinho,Sagu,Brazilian,Rio Grande do Sul,Dessert,Tapioca Pudding,Fruit Dish,Vegan,Dessert,Fruit,3.1,Low,9,1,1,1,1,1,4,5,6,1,2,5,1,,"tapioca pearls, red wine, sugar, cinnamon, garlic, onion, salt, lime, oil, black pepper",Sagu de Vinho is a southern Brazilian dessert made with tapioca pearls cooked in red wine syrup. It is especially associated with Rio Grande do Sul.
Salpicão,,Brazilian,National,Side Dish,Chicken Salad,Chicken Dish,Non-Veg,Salad,Chicken,4.6,Low,1,3,1,1,5,1,3,2,2,2,3,3,1,,"shredded chicken, carrot, peas, corn, mayonnaise, potato sticks, garlic, onion, salt, lime, oil, black pepper",Salpicão is a festive Brazilian chicken salad usually served chilled. It is popular at holidays and family celebrations.
Sanduíche de Mortadela,Mortadella Sandwich,Brazilian,São Paulo,Main Dish,Deli Sandwich,Pork Dish,Non-Veg,Main,Pork,4.4,Mild,1,7,1,1,9,2,7,1,2,2,4,4,2,,"mortadella, bread roll, mustard, cheese, garlic, onion, salt, lime, oil, black pepper",Sanduíche de Mortadela is a São Paulo market favorite known for its generous layers of sliced mortadella in a crusty roll. It is especially associated with the city’s municipal market.
Sarapatel,,Brazilian,Northeast,Main Dish,Offal Stew,Pork Dish,Non-Veg,Soup,Pork,4.4,Medium,1,5,2,1,8,4,5,2,5,2,3,7,4,,"pork offal, blood, vinegar, garlic, onion, peppers, tomato, bay leaf, cumin, coconut milk, palm oil","Sarapatel is a robust northeastern stew made with chopped meat, offal, and strong seasonings. It is known for its intense flavor and Portuguese-influenced roots."
Sequilho,,Brazilian,National,Dessert,Cookie,Cassava Dish,Veg,Dessert,Cassava,3.1,Low,9,1,1,1,1,1,5,1,3,2,2,4,1,,"cassava starch, sugar, eggs, butter, garlic, onion, salt, lime, oil, black pepper",Sequilho is a delicate Brazilian cookie often made with cassava starch. Its crumbly texture makes it a common coffee-time sweet.
Sobá,,Brazilian,Mato Grosso do Sul,Main Dish,Noodle Dish,Beef Dish,Non-Veg,Soup,Beef,4.4,Mild,1,6,1,1,9,2,5,1,4,2,5,6,1,,"wheat noodles, beef, omelet strips, green onion, broth, garlic, salt, lime, oil, black pepper","Sobá is a noodle dish associated with Campo Grande in Mato Grosso do Sul, reflecting Japanese immigrant influence in Brazil. It is served as a comforting bowl of noodles with toppings and broth."
Sonho,,Brazilian,National,Snack,Filled Doughnut,Egg Dish,Veg,Snack,Egg,5.5,Low,9,1,1,1,1,1,6,1,3,6,2,4,1,,"yeast dough, sugar, pastry cream, eggs, milk, garlic, onion, salt, lime, oil, black pepper",Sonho is a Brazilian filled doughnut dusted with sugar and often stuffed with pastry cream. It is a beloved bakery dessert and snack.
Tacacá,,Brazilian,Pará,Soup,Amazonian Soup,Seafood Dish,Pescatarian,Soup,Shrimp,2.4,Medium,1,5,1,1,7,5,3,1,3,1,1,5,5,,"tucupi, jambu, dried shrimp, tapioca starch, peppers, garlic, onion, salt, lime, oil, black pepper","Tacacá is a hot Amazonian soup from Pará made with tucupi, jambu, shrimp, and tapioca starch. It is commonly sold by street vendors and known for its bold, tingling flavor."
Tainha Assada,,Brazilian,Coastal South,Main Dish,Grilled Fish,Fish Dish,Pescatarian,Main,Fish,2.7,Mild,1,6,3,2,8,2,4,1,4,2,3,6,1,,"mullet, garlic, lemon, salt, herbs, onion, lime, oil, black pepper","Tainha Assada is grilled mullet, a common coastal dish in southern and southeastern Brazil. It is often served during mullet season with simple regional sides."
Tambaqui Assado,,Brazilian,Amazonas,Main Dish,Grilled Fish,Fish Dish,Pescatarian,Main,Fish,4.4,Mild,1,6,3,2,8,2,4,1,4,2,3,6,1,,"tambaqui fish, salt, lemon, garlic, onion, lime, oil, black pepper","Tambaqui Assado is an Amazonian fish dish featuring a richly flavored freshwater fish grilled over heat. It is common in the North, where river fish dominate the cuisine."
Tapioca,Tapioca Crepe||Tapioca Pancake,Brazilian,Northeast,Snack,Cassava Crepe,Grain Dish,Veg,Snack,,3.1,Low,4,4,1,1,3,1,6,1,2,2,3,4,2,,"tapioca starch, coconut, cheese, butter, garlic, onion, salt, lime, oil, black pepper",Brazilian tapioca is a pan-cooked crepe-like flatbread made from hydrated cassava starch. It is especially associated with the Northeast and can be filled with savory or sweet ingredients.
Tapioca de Coco,,Brazilian,Northeast,Dessert,Sweet Tapioca,Cassava Dish,Veg,Dessert,Cassava,5.0,Low,9,1,1,1,1,1,7,1,3,2,2,4,1,,"tapioca starch, coconut, condensed milk, butter, sugar, eggs",Tapioca de Coco is a sweet variation of Brazilian tapioca filled or topped with coconut and sweet ingredients. It is widely enjoyed in the Northeast.
Torresmo,,Brazilian,National,Snack,Pork Crackling,Pork Dish,Non-Veg,Snack,Pork,5.1,Mild,1,5,1,1,6,2,7,1,2,7,4,4,1,,"pork skin, pork fat, salt, garlic, onion, lime, oil, black pepper","Torresmo is Brazilian pork crackling, prized for its crunchy texture and rich flavor. It is a popular bar snack and side in many regions."
Torta Capixaba,,Brazilian,Espírito Santo,Main Dish,Seafood Pie,Fish Dish,Pescatarian,Main,Fish,3.5,Mild,1,6,1,2,9,2,6,1,4,2,3,6,1,,"seafood, crab, fish, palm heart, eggs, onion, olive oil, garlic, salt, lime, black pepper","Torta Capixaba is a festive seafood pie from Espírito Santo, especially associated with Holy Week. It combines multiple seafood ingredients in a savory baked preparation."
Torta Holandesa,,Brazilian,São Paulo,Dessert,Cream Pie,Milk Dish,Veg,Dessert,Milk,5.5,Low,9,1,1,4,1,1,9,1,7,2,2,4,1,,"cream filling, cookies, chocolate glaze, butter, garlic, onion, salt, lime, oil, black pepper","Torta Holandesa is a no-bake Brazilian dessert despite its name, with a creamy filling and chocolate topping. It is especially popular in restaurants and dessert shops."
Tucunaré Assado,,Brazilian,Amazonian,Main Dish,Grilled Fish,Fish Dish,Pescatarian,Main,Fish,5.6,Mild,1,6,3,2,8,2,4,1,4,2,3,6,1,,"tucunaré fish, garlic, lemon, salt, onion, lime, oil, black pepper","Tucunaré Assado is grilled peacock bass, a popular freshwater fish in northern Brazil. Its firm flesh makes it well suited to simple grilling and regional side dishes."
Tutu de Feijão,Tutu Mineiro,Brazilian,Minas Gerais,Main Dish,Bean Puree,Pork Dish,Non-Veg,Main,Pork,4.4,Mild,1,6,1,2,8,2,6,2,9,2,3,7,1,,"beans, cassava flour, garlic, onion, pork fat, parsley, salt, lime, oil, black pepper","Tutu de Feijão is a comforting bean purée thickened with cassava flour and associated strongly with Minas Gerais. It is often served with rice, greens, eggs, or pork."
Vaca Atolada,,Brazilian,Minas Gerais,Main Dish,Beef Stew,Beef Dish,Non-Veg,Soup,Beef,4.4,Mild,1,6,1,1,9,2,6,2,5,2,3,7,1,,"beef ribs, cassava, onion, garlic, tomato, herbs, bay leaf, cumin, coconut milk, palm oil",Vaca Atolada is a hearty stew of beef ribs slowly cooked with cassava until rich and tender. It is a comforting dish especially linked to Minas Gerais and inland cooking.
Vatapá,,Brazilian,Bahia,Bread,Shrimp Cream,Seafood Dish,Pescatarian,Side,Shrimp,5.9,Low,1,3,1,1,7,2,8,2,9,2,3,5,1,,"bread or flour, shrimp, coconut milk, peanuts, cashews, dendê oil, garlic, onion, salt, lime, black pepper","Vatapá is a rich Bahian cream-like dish made with shrimp, bread, coconut milk, nuts, and dendê oil. It is deeply associated with Afro-Brazilian cooking."
Vinagrete,Molho à Campanha,Brazilian,National,Side Dish,Fresh Salsa,Vegetable Dish,Vegan,Side,Vegetables,1.7,Mild,1,4,8,2,4,2,2,2,1,1,1,7,2,,"tomato, onion, bell pepper, vinegar, oil, parsley, garlic, salt, lime, black pepper","Brazilian vinagrete is a bright chopped salsa made with tomato, onion, peppers, vinegar, and herbs. It is a common accompaniment to grilled meats, sandwiches, and bar snacks."
Virado à Paulista,Virado de Feijão,Brazilian,São Paulo,Main Dish,Bean Plate,Pork Dish,Non-Veg,Main,Pork,6.6,Mild,1,6,1,2,9,2,6,2,2,2,3,5,3,,"beans, cassava flour, rice, collard greens, pork chop, sausage, egg, garlic, onion, salt, lime, oil","Virado à Paulista is a classic São Paulo meal built around seasoned beans mixed with cassava flour and served with rice, greens, pork, and egg. It is a traditional lunch dish with colonial-era roots."
Xinxim de Galinha,,Brazilian,Bahia,Main Dish,Chicken Stew,Chicken Dish,Non-Veg,Soup,Chicken,4.4,Mild,1,6,1,1,8,3,8,2,5,3,3,5,5,,"chicken, dried shrimp, peanuts, cashews, coconut milk, dendê oil, onion, garlic, tomato, bay leaf, cumin, palm oil","Xinxim de Galinha is a Bahian chicken stew flavored with shrimp, nuts, and palm oil. It reflects the strong Afro-Brazilian influence in the region’s cuisine."
Xis Gaúcho,,Brazilian,Rio Grande do Sul,Main Dish,Burger Sandwich,Cheese Dish,Non-Veg,Main,Cheese,6.3,Mild,1,7,1,1,9,2,7,3,3,4,4,5,2,,"burger patty, cheese, lettuce, tomato, corn, peas, mayonnaise, bread",Xis Gaúcho is a southern Brazilian burger-style sandwich known for its large size and generous fillings. It is a classic late-night snack in Rio Grande do Sul.
Almond Tofu,Annin Tofu||Xìngren Dòufu,Chinese,Jiangnan,Dessert,Jelly Dessert,Milk Dish,Veg,Dessert,Milk,3.8,Low,9,1,1,2,1,1,6,2,6,1,1,4,3,,"almond milk, agar, sugar, fruit, soy sauce, ginger, garlic, scallions, sesame oil, vegetable oil","Almond tofu is a chilled almond-flavored jelly dessert with a soft custard-like texture, often served with fruit syrup."
Ants Climbing a Tree,Mǎyǐ Shàng Shù,Chinese,Sichuan,Main Dish,Vermicelli Dish,Pork Dish,Non-Veg,Main,Pork,5.3,Hot,1,6,1,1,9,8,5,2,6,1,4,6,3,,"glass noodles, minced pork, chili bean paste, Sichuan pepper, soy sauce, ginger, garlic, scallions, sesame oil, vegetable oil",Ants climbing a tree is glass noodles stir-fried with minced pork in a fiery chili-bean sauce.
Bang Bang Chicken,Bàngbàng Jī,Chinese,Sichuan,Appetizer,Shredded Chicken,Chicken Dish,Non-Veg,Appetizer,Chicken,2.6,Medium,1,4,1,1,6,5,4,1,3,3,2,4,3,,"poached chicken, sesame sauce, chili oil, cucumber, soy sauce, ginger, garlic, scallions, sesame oil, vegetable oil",Bang bang chicken is a Sichuan cold dish of tender shredded chicken with sesame and chili dressing.
Baozi,Stuffed Steamed Buns||Bāozi,Chinese,Northern Chinese,Snack,Steamed Bun,Pork Dish,Non-Veg,Snack,Pork,6.3,Mild,1,5,1,1,7,2,4,1,2,2,3,4,3,,"wheat dough, pork or vegetables, yeast, soy sauce, ginger, garlic, scallions, sesame oil, vegetable oil","Baozi are fluffy steamed buns with savory or sweet fillings, eaten across China as breakfast, snack, or light meal."
Beef Chow Fun,Gan Chao Niu He,Chinese,Cantonese,Main Dish,Stir-Fried Noodles,Beef Dish,Non-Veg,Main,Beef,7.0,Mild,1,7,1,1,9,2,7,2,4,7,4,5,3,,"rice noodles, beef, bean sprouts, soy sauce, scallion, ginger, garlic, sesame oil, vegetable oil","Beef chow fun is a Cantonese wok-fried noodle dish featuring broad rice noodles, sliced beef, and smoky wok hei flavor."
Beggar's Chicken,Jiàohuà Jī,Chinese,Jiangsu,Main Dish,Roasted Poultry,Chicken Dish,Non-Veg,Main,Chicken,6.0,Mild,1,6,1,2,9,2,5,1,4,2,3,5,3,,"chicken, lotus leaf, mushroom, ham, clay, soy sauce, ginger, garlic, scallions, sesame oil, vegetable oil","Beggar's chicken is a Jiangnan dish of stuffed chicken wrapped and baked, traditionally in clay, until exceptionally moist."
Black Sesame Soup,Zhīma Hú,Chinese,Cantonese,Main Dish,Sweet Soup,Rice Dish,Vegan,Soup,Rice,3.8,Low,9,1,1,1,1,1,5,1,4,2,2,4,3,,"black sesame, rice flour, sugar, water, broth, ginger, scallions, soy sauce, sesame oil, white pepper",Black sesame soup is a silky Cantonese sweet soup made from ground sesame seeds and served warm as dessert.
Bo Bo Chicken,Bōbōjī,Chinese,Sichuan,Snack,Skewered Chicken,Chicken Dish,Non-Veg,Soup,Chicken,2.6,Very Hot,1,4,1,2,6,9,4,1,2,4,2,4,3,,"chicken, sesame, chili oil, peppercorn, vegetables, soy sauce, ginger, garlic, scallions, vegetable oil",Bo bo chicken is a Sichuan snack of skewered chicken and vegetables served in a seasoned spicy broth or dressing.
Boat Congee,Sampan Congee,Chinese,Cantonese,Main Dish,Porridge,Seafood Dish,Pescatarian,Main,Seafood,7.0,Mild,1,6,1,1,7,2,4,2,4,1,1,5,3,,"rice, fish, squid, peanuts, fried dough, soy sauce, ginger, garlic, scallions, sesame oil, vegetable oil",Boat congee is a Cantonese seafood porridge historically linked to boat-dwelling communities in Guangdong.
Bolo Bao with Butter,Pineapple Bun with Butter,Chinese,Hong Kong Cantonese,Snack,Sweet Bun,Bread Dish,Veg,Snack,Bread/Wheat,6.3,Low,9,1,1,1,1,1,8,2,3,2,2,4,2,,"pineapple bun, butter, sugar, red bean paste, glutinous rice flour",This Hong Kong café favorite sandwiches a thick slab of butter inside a warm pineapple bun for a sweet-salty treat.
Braised Abalone,Cōngshāo Bàoyú,Chinese,Shandong,Main Dish,Braised Seafood,Seafood Dish,Pescatarian,Main,Seafood,5.3,Mild,1,7,1,1,10,2,5,1,5,2,3,6,3,,"abalone, scallion, stock, soy sauce, ginger, garlic, sesame oil, vegetable oil",Braised abalone in scallion-rich sauce is a northern banquet dish associated with high-end Shandong technique.
Braised Bamboo Shoots,Yóu Mèn Sǔn,Chinese,Zhejiang,Side Dish,Vegetable Braise,Vegetable Dish,Vegan,Side,Vegetables,2.1,Low,1,4,1,1,3,1,4,1,4,2,2,4,3,,"bamboo shoots, soy sauce, sugar, oil, ginger, garlic, scallions","Zhejiang cuisine often features bamboo shoots, and this braised dish highlights their tender texture and mellow flavor."
Braised Eggplant in Claypot,Yúxiāng Qiezi Bǎo,Chinese,Cantonese,Main Dish,Clay Pot Dish,Pork Dish,Non-Veg,Main,Pork,5.3,Medium,1,6,1,3,9,5,6,3,5,2,3,6,3,,"eggplant, salted fish or minced pork, garlic, chili, soy sauce, ginger, scallions, sesame oil, vegetable oil",Claypot eggplant is a southern Chinese dish often enriched with salted fish or minced meat.
Braised Gluten with Mushrooms,Kǎofū,Chinese,Shanghai,Appetizer,Gluten Dish,Wheat Dish,Vegan,Appetizer,Wheat,2.6,Mild,1,5,1,1,7,2,5,2,4,3,2,4,3,,"wheat gluten, shiitake, peanuts, soy sauce, ginger, garlic, scallions, sesame oil, vegetable oil",Kao fu is a Shanghai vegetarian cold dish of braised sponge gluten with mushrooms and peanuts.
Braised Prawns in Oil,Yóu Bào Dàxiā,Chinese,Shandong,Main Dish,Seafood Stir-Fry,Shrimp Dish,Pescatarian,Main,Shrimp,6.5,Mild,2,7,1,2,9,2,6,1,5,3,3,7,3,,"prawns, soy sauce, sugar, scallion, ginger, vegetable oil, garlic, shaoxing wine, cornstarch",Oil-burst prawns are a classic coastal Shandong seafood preparation with sweet-savory glaze.
Buddha Jumps Over the Wall,Fótiàoqiáng,Chinese,Fujian,Soup,Luxury Soup,Pork Dish,Non-Veg,Soup,Pork,2.8,Mild,1,8,1,1,10,2,4,1,4,1,1,5,3,,"abalone, sea cucumber, scallops, fish maw, ham, stock, broth, ginger, scallions, soy sauce, sesame oil, white pepper",Buddha Jumps Over the Wall is an elaborate Fujian soup combining premium dried and fresh ingredients in a deeply layered broth.
Buddha's Delight,Luóhàn Zhāi,Chinese,Chinese Buddhist,Main Dish,Vegetable Stew,Vegetable Dish,Vegan,Soup,Vegetables,5.3,Mild,1,6,1,2,7,2,5,2,5,3,3,5,3,,"tofu, mushrooms, napa cabbage, bean curd skin, vermicelli, soy sauce, ginger, garlic, scallions, sesame oil, vegetable oil",Buddha's Delight is a Buddhist vegetarian dish of mixed vegetables and bean products braised together.
Cat's Ear Biscuits,Māo'ěr Duǒ,Chinese,Zhejiang,Dessert,Cookie,Dessert,Vegan,Dessert,Bread/Wheat,3.7,Low,9,1,1,1,1,1,5,1,2,6,2,4,3,,"flour, sugar, lard, sesame, soy sauce, ginger, garlic, scallions, vegetable oil",Cat's ear biscuits are bite-size crisp sweets from eastern China with a layered texture and mild sweetness.
Century Egg Congee,Pidan Shou Rou Zhou,Chinese,Cantonese,Main Dish,Porridge,Pork Dish,Non-Veg,Main,Pork,7.0,Mild,1,6,1,1,7,2,5,1,4,1,1,5,8,,"rice, century egg, pork, ginger, scallion, soy sauce, garlic, sesame oil, vegetable oil",Century egg congee combines silky rice porridge with preserved egg and pork for a deeply savory Cantonese breakfast.
Chairman Mao's Red-Braised Pork,Mao Shi Hong Shao Rou,Chinese,Hunan,Main Dish,Braised Pork,Pork Dish,Non-Veg,Main,Pork,5.2,Mild,2,6,1,1,9,2,6,3,5,2,3,6,3,,"pork belly, soy sauce, sugar, rice wine, ginger, garlic, scallions, sesame oil, vegetable oil",Chairman Mao's red-braised pork is a famous Hunan dish of glossy braised pork belly with a rich sweet-savory finish.
Changsha Stinky Tofu,Chòu Dòufu,Chinese,Hunan,Snack,Fried Tofu,Tofu Dish,Vegan,Snack,Tofu,2.6,Hot,1,4,1,1,4,8,6,1,3,8,2,5,9,,"fermented tofu, chili sauce, garlic, pickled vegetables, soy sauce, ginger, scallions, sesame oil, vegetable oil","Changsha stinky tofu is a pungent fermented tofu snack, deep-fried until crisp and topped with spicy condiments."
Char Siu,Cantonese BBQ Pork,Chinese,Cantonese,Main Dish,Barbecue,Pork Dish,Non-Veg,Main,Pork,7.2,Mild,2,7,1,2,9,2,6,1,4,2,3,5,3,,"pork, maltose, soy sauce, five-spice, hoisin, ginger, garlic, scallions, sesame oil, vegetable oil","Char siu is Cantonese barbecued pork with a glossy reddish glaze, sweet-savory flavor, and tender roasted texture."
Cheung Fun,Rice Noodle Rolls||Chángfěn,Chinese,Cantonese,Snack,Rice Roll,Beef Dish,Non-Veg,Snack,Beef,2.6,Mild,1,5,1,1,7,2,4,1,3,4,3,4,3,,"rice batter sheets, shrimp or beef, soy sauce, ginger, garlic, scallions, sesame oil, vegetable oil","Cheung fun are silky steamed rice noodle rolls served plain or filled, usually finished with sweet soy sauce."
Chicken Feet,Phoenix Claws||Fèngzhǎo,Chinese,Cantonese,Snack,Dim Sum Small Plate,Chicken Dish,Non-Veg,Snack,Chicken,2.6,Medium,1,5,1,1,6,4,5,3,3,4,2,5,3,,"chicken feet, black bean, chili, garlic, soy sauce, ginger, scallions, sesame oil, vegetable oil","Chicken feet in dim sum are braised and steamed until gelatinous and tender, often seasoned with black bean and chili."
Chili Pepper Fish,Xiāng Là Yú,Chinese,Hunan,Main Dish,Fish Dish,Fish Dish,Pescatarian,Main,Fish,5.3,Hot,1,6,1,1,8,7,4,3,4,2,3,7,5,,"fish, fresh chili, garlic, ginger, fermented black beans, soy sauce, scallions, sesame oil, vegetable oil",Hunan chili pepper fish emphasizes the region's love of fresh chili heat rather than the numbing spice of Sichuan.
Chongqing Hot Pot,Chongqing Mala Hot Pot,Chinese,Chongqing,Main Dish,Hot Pot,Beef Dish,Non-Veg,Main,Beef,7.3,Very Hot,1,6,1,1,10,9,5,2,5,1,1,5,4,,"chili, peppercorn, tripe, offal, mushrooms, tofu, soy sauce, ginger, garlic, scallions, sesame oil, vegetable oil",Chongqing hot pot is an especially intense branch of Sichuan hot pot known for robust mala heat and liberal use of offal and beef fat.
Chongqing Xiaomian,Chongqing Noodles,Chinese,Chongqing,Main Dish,Noodle Dish,Wheat Dish,Vegan,Main,Wheat,5.3,Very Hot,1,6,1,1,7,9,5,1,5,1,4,7,3,,"wheat noodles, chili oil, garlic, scallion, Sichuan pepper, soy sauce, sesame oil","Chongqing xiaomian are everyday spicy noodles dressed with a pungent mix of chili oil, aromatics, and numbing peppercorn."
Cifantuan,Shanghai Sticky Rice Roll,Chinese,Shanghai,Main Dish,Rice Roll,Pork Dish,Non-Veg,Main,Pork,5.3,Mild,1,6,1,1,8,2,7,1,4,6,4,5,3,,"sticky rice, fried dough, pickles, pork floss, soy sauce, ginger, garlic, scallions, sesame oil, vegetable oil",Cifantuan is a Shanghai breakfast rice roll wrapped around crisp fried dough and savory condiments.
Claypot Rice,Bo Zai Fan,Chinese,Cantonese,Main Dish,Rice Dish,Chicken Dish,Non-Veg,Main,Chicken,5.3,Mild,1,7,1,1,9,2,6,1,4,2,3,5,3,,"rice, Chinese sausage, chicken, soy sauce, scallion, sesame oil, egg","Claypot rice is rice cooked in an earthenware pot until the bottom crisps, topped with meats and finished with seasoned soy sauce."
Cold Jelly Noodles,Liang Fen,Chinese,Shaanxi,Snack,Cold Noodle,Wheat Dish,Vegan,Snack,Wheat,2.6,Hot,1,5,1,1,4,7,5,2,3,4,4,5,2,,"pea starch jelly, chili oil, vinegar, garlic, soy sauce, ginger, scallions, sesame oil, vegetable oil",Liangfen are jelly-like starch noodles served cold with spicy tangy sauce in northwestern China.
Cold Noodles in Sesame Sauce,Liáng Miàn,Chinese,Sichuan,Snack,Cold Noodle,Wheat Dish,Vegan,Snack,Wheat,2.6,Hot,1,5,1,1,5,7,5,1,4,4,4,5,3,,"wheat noodles, sesame paste, chili oil, soy sauce, garlic, ginger, scallions, sesame oil, vegetable oil",Sichuan cold noodles are served chilled and coated in a nutty spicy sesame dressing.
Cong You Bing,Scallion Pancake||Cōngyóubǐng,Chinese,Northern Chinese,Snack,Savory Pancake,Wheat Dish,Vegan,Snack,Wheat,5.7,Mild,1,5,1,1,4,2,7,1,2,8,3,5,3,,"wheat dough, scallion, oil, salt, soy sauce, ginger, garlic","Cong you bing is a flaky layered scallion pancake pan-fried until crisp, popular across northern and eastern China."
Congee,Jook||Zhōu,Chinese,Cantonese,Main Dish,Porridge,Rice Dish,Non-Veg,Main,Rice,7.0,Mild,1,6,1,1,6,1,3,1,4,1,1,4,8,,"rice, water or stock, toppings (century egg, pork, etc.), soy sauce, ginger, garlic, scallions, sesame oil, vegetable oil","Congee is Chinese rice porridge served plain or with meats and seafood, especially central to Cantonese breakfasts."
Congshao Haishen,Braised Sea Cucumber with Scallions,Chinese,Shandong,Main Dish,Braised Seafood,Seafood Dish,Pescatarian,Main,Seafood,5.3,Mild,1,7,1,1,10,2,5,1,5,2,3,7,3,,"sea cucumber, scallion, stock, soy sauce, ginger, garlic, sesame oil, vegetable oil",Braised sea cucumber with scallions is a luxurious Lu cuisine dish that highlights the texture of sea cucumber.
Crab Roe Soup Dumplings,Xièfěn Xiǎolóng,Chinese,Shanghai,Snack,Soup Dumpling,Pork Dish,Non-Veg,Soup,Pork,7.0,Mild,1,4,1,1,7,2,5,1,2,4,3,5,3,,"wrappers, pork, crab roe, aspic, ginger, broth, scallions, soy sauce, sesame oil, white pepper","Crab roe soup dumplings are a luxurious Shanghai variation of xiaolongbao, especially popular in hairy crab season."
Crab Shell Pie,Xièke Huáng,Chinese,Shanghai,Snack,Savory Pastry,Pork Dish,Non-Veg,Snack,Pork,3.7,Mild,1,5,1,1,6,2,5,1,2,5,2,5,3,,"flaky pastry, pork, scallion, sesame, soy sauce, ginger, garlic, vegetable oil","Crab shell pie is a Shanghai baked pastry named for its golden domed shape, commonly filled with pork or sweet bean paste."
